Early Morning,2 glass Luke Warm Water,,,,,,,,,,,,,
Morning Supp.,"Ashwagandha (max 500 gm), Vitamin E (evion 400), Shilajeet (Max 500gm - upto 1000mg)",,,,,,,,,,,,1 glass Milk - 240 ml,
Afternoon,Black Coffee,,,,,,,,,,,,,
Post Dinner,"Sea Code Liver Oil, Vitamin D3 - upto 5000 lu",,,,,,,,,,,,,
,,,,,,,,,,,,,,
Masala-1,"HImalayan Pink Salt (3gm), Ginger, Garlic, Green Chilli, Jeera, Turmeric, Dhaniya Powder, Kitchen King Masala",,,,,,,,,,,,,
Masala-2,"HImalayan Pink Salt (3gm), Oregano, Chilli flakes, Black Pepper (Chaat Masala)",,,,,,,,,,,,,
,,,,,,,,,,,,,,
,every month 1 week same diet from remission last 3/4/5 week's,,,,,,,,,,,,,
AMLYCURE DS,1-2 hrs before breakfast and dinner for liver ,,,,,,,,,,,,,
,Paneer,80gm,,Banana,100gm,,,,,Masala 1,,,Milk,1 glass
,Tomato,40gm,,Peanut Butter,50gm,,,,,Tomato,80gm,,Whey Isolate,50gm
,Onion,40gm,,BB Toast,2,,,,,Onion,80gm,,Red Apple,120gm
,Red BP,40gm,,Butter,10gm,,,,,Potato,120gm,,Blueberry,50gm
,Yellow BP,40gm,,Honey,12gm,,,,,Zucchini,100gm,,,
,Gram flour,55gm,,,,,,,,Soya chunks,20gm,,,
,Olive Oil,10gm,,,,,,,,Matar,50gm,,,
,Dahi,80gm,,,,,,,,Desi ghee,12gm,,,
,Masala 1,,,,,,,,,Wheat flour,30gm,,,
,,,,,,,,,,Jowar flour,30gm,,,
,,,,,,,,,,Pink Salt,3gm,,,
,,,,,,,,,,,,,,
Diet - 14,3 layer egg sandwich,,,Mix Fruit Salad Bowl,,,,,,Chicken Mix Veg Moong Dal + Rice,,,Post Workout,
,Egg Whole,1,,Banana,100gm,,,,,Masala 1,,,Milk,1 glass
,Egg white,3,,Red Apple,120gm,,,,,Tomato,80gm,,Whey Isolate,45gm
,Onion,50gm,,Kharbooja,150gm,,,,,Onion,80gm,,Black Dates,50gm
,Tomato,50gm,,Blueberry,50gm,,,,,Boneless Chicken,140gm,,,
,Yellow BP,50gm,,Almonds,10gm,,,,,Zucchini,100gm,,,
,Cheese Slice,2,,,,,,,,Yellow moong dal,45gm,,,
,BB Toast,3,,,,,,,,White Rice,50gm,,,
,Butter,12gm,,,,,,,,Mustard Oil,12gm,,,
,Ketchup,12gm,,,,,,,,,,,,
,Masala 2,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Diet - 15,Masala Veggie Poha,,,Mix Fruit Salad Bowl,,,,,,Chicken Broccoli Fried Rice,,,Post Workout,
1 glass water,Poha raw,60gm,,Red Apple,120gm,,,,,Masala 1,,,Milk,1 glass
Chia 10gm,Potato,80gm,,Pear,120gm,,,,,Onion,80gm,,Whey Isolate,45gm
,Onion,80gm,,Kharbooja,180gm,,,,,Tomato,80gm,,Strawberry,80gm
,Tomato,80gm,,Cashew,20gm,,,,,Chicken,120gm,,Almonds,14gm
,Carrot,50gm,,Walnuts,20gm,,,,,Broccoli,100gm,,,
,Matar,40gm,,,,,,,,Mushroom,100gm,,,
,Desi Ghee,12gm,,,,,,,,Matar,40gm,,,
,Masala 1,,,,,,,,,White Rice,45gm,,,
,,,,,,,,,,Olive oil,12gm,,,
,,,,,,,,,,Hot & Sweet Sauce,12gm,,,
,,,,,,,,,,,,,,
Diet - 16,Mix Veg Omelet Tortilla Wrap,,,Paneer Lettuce Salad Bowl,,,,,,Chicken Mix veg stir fry pasta,,,Post Workout,
,Egg whole,2,,Paneer,80gm,,,,,Masala 2,,,Milk,1 glass
,Eggs white,2,,Tomato,80gm,,,,,Tomato,80gm,,Whey Isolate,45gm
,Onion,40gm,,Cucumber,120gm,,,,,Onion,80gm,,,
,Red BP,40gm,,Onion,20gm,,,,,Chicken,120gm,,,
,Corn,50gm,,Red BP,40gm,,,,,Potato,100gm,,,
,Tortilla Large,1,,Corn,50gm,,,,,Carrot,80gm,,,
,Butter,12gm,,Lettuce,40gm,,,,,Capsicum,40gm,,,
,Masala 2,,,Lemon,,,,,,Pasta Penne,55gm,,,
,Ketchup,12gm,,Masala 2,,,,,,Olive Oil,12gm,,,
,,,,,,,,,,Pasta Sauce,12gm,,,
,,,,,,,,,,,,,,
Diet - 17,Boiled Egg Sandwiches,,,Banana Peanut Butter Tortilla,,,,,,Paneer Rajma Fried Rice,,,Post Workout,
,Hard boiled eggs,2,,Large Tortilla,1,,,,,Masala 1,,,Milk,1.5 glass
,Hard boiled eggs white,2,,Banana,80gm,,,,,Onion,80gm,,Whey Isolate,45gm
,Onion,60gm,,Strawberry,80gm,,,,,Tomato,80gm,,Black Dates,50gm
,Tomato,60gm,,Peanut Butter,40gm,,,,,Paneer,100gm,,,
,Red BP,40gm,,Butter,8gm,,,,,Boiled Rajma,120gm,,,
,Black Olives,20gm,,Honey,10gm,,,,,Capsicum,40gm,,,
,Mayo,30gm,,,,,,,,White Rice,50gm,,,
,BB Toast,4,,,,,,,,Mustard Oil,12gm,,,
,Masala 2,,,,,,,,,,,,,
,Ketchup,12gm,,,,,,,,,,,,
,,,,,,,,,,,,,,
Diet - 18,Paneer Bhurji Tortilla Wrap,,,Mix Fruit Salad,,,,,,Chicken Mix Veg Pasta,,,Post Dinner,
,Masala 2,,,Red Apple,120gm,,,,,Onion,80gm,,Corn Flakes,25gm
,Onion,80gm,,Cantaloupe,140gm,,,,,Tomato,80gm,,Chocolate Ice Cream,140gm
,Tomato,80gm,,Kharbooja,140gm,,,,,Boneless Chicken,140gm,,Brownie,120gm
,Paneer,80gm,,,,,,,,Mushroom,100gm,,Almonds,20gm
,Red BP,40gm,,,,,,,,Carrot,80gm,,Cashews,20gm
,Corn,50gm,,,,,,,,Red BP,40gm,,Pista,14gm
,Butter,10gm,,,,,,,,Matar,40gm,,,
,Large Tortilla,2,,,,,,,,Pasta Penne,55gm,,,
,Ketchup,12gm,,,,,,,,Olive Oil,12gm,,,
,,,,,,,,,,Masala 2,,,,
,,,,,,,,,,,,,,
Diet - 19,Omelet Sourdough Bread Toasts,,,Mix Fruit Salad,,,,,,Paneer Zuchini Chana Dal Rice,,,,
,Sourdough Bread,60gm,,Red Apple,120gm,,,,,Masala 1,,,,
,Egg whole,2,,Kharbooja,200gm,,,,,Onion,80gm,,,
,Egg white,2,,Strawberry,80gm,,,,,Tomato,80gm,,,
,Tomato,50gm,,Black Dates,80gm,,,,,Paneer,80gm,,,
,Onion,50gm,,,,,,,,Zucchini,120gm,,,
,Capsicum,50gm,,,,,,,,Matar,50gm,,,
,Avocado,50gm,,,,,,,,Chana Dal,45gm,,,
,Butter,12gm,,,,,,,,White Rice,45gm,,,
,Masala 2,,,,,,,,,Mustard Oil,12gm,,,
,Ketchup,12gm,,,,,,,,,,,,
,,,,,,,,,,,,,,
Diet - 20,Chickpea Potato Chaat,,,Mix Fruit Salad,,,,,,Mix Egg Fried Rice,,,,
SOS Diet,Masala 1,,,Red Apple,120gm,,,,,Masala 1,,,,
,Raw chickpea,50gm,,Pear,120gm,,,,,Tomato,80gm,,,
,Potato ,100gm,,Cantaloupe,140gm,,,,,Onion,80gm,,,
,Tomato,80gm,,Almonds,20gm,,,,,Paneer,100gm,,,
,Onion,80gm,,Blueberry,40gm,,,,,Broccoli,80gm,,,
,Cucumber,100gm,,,,,,,,Mushroom,80gm,,,
,Red BP,40gm,,,,,,,,Capsicum,40gm,,,
,Butter,12gm,,,,,,,,Egg whole,2,,,
,Hing/Amchoor/Ajwain,,,,,,,,,White Rice,45gm,,,
,Salt,3gm,,,,,,,,Olive oil,12gm,,,
,,,,,,,,,,Soy sauce,1 tb spoon,,,
,,,,,,,,,,Hot & Sweet chilli sauce,12gm,,,
,,,,,,,,,,,,,,
Diet - 21,Paneer bhurji BB Toast,,,Mix Fruit Salad,,,,,,Rajma Rice + Jeera Aalo Roti,,,,
SOS Diet,Masala 1,,,Red Apple,100gm,,,,,Masala 1,,,,
,Hing/Amchoor/Ajwain,,,Pear,100gm,,,,,Hing/Amchoor/Ajwain,,,,
,Paneer,80gm,,Kharbooja,180gm,,,,,Tomato,80gm,,,
,Tomato,80gm,,,,,,,,Onion,80gm,,,
,Onion,80gm,,,,,,,,Potato,120gm,,,
,Capsicum,40gm,,,,,,,,Boiled Rajma,120gm,,,
,Yellow BP,30gm,,,,,,,,Capsicum,40gm,,,
,Butter,12gm,,,,,,,,Mustard Oil,12gm,,,
,BB Toast,2,,,,,,,,White Rice,45gm,,,
,Tomato Ketchup,12gm,,,,,,,,Wheat flour,40gm,,,
,,,,,,,,,,Jowar flour,20gm,,,
